Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
52,0.7023249794197068,C,1.0736102952456577,Y,4,0.07846339139347225,Red,0.4433444078844854,168,Cat,279
93,0.8519692535558417,C,-0.8791639454365066,X,10,0.6822309873202942,Green,0.5527623360908271,118,Bird,208
15,0.3566089128743861,A,2.34064329118308,X,25,0.6123186226673364,Blue,0.8484436035509693,148,Bird,267
72,0.2613973165603949,C,-0.8884719666699248,X,32,0.6426603272164181,Blue,-0.37547073910902684,197,Cat,288
61,0.9465985727783387,C,-1.1667737929036508,Z,8,0.8134953650370442,Green,0.0005256308357240357,176,Dog,279
21,0.726303500368818,C,-0.29050516053877085,X,42,0.28691897560982826,Green,-2.452530608723595,161,Dog,273
83,0.21968213337582632,B,1.048364885635423,Y,45,0.6770680714343819,Red,-0.6698412969634687,160,Bird,273
87,0.4490833926761134,C,0.3550476714550934,Z,12,0.7433176945832772,Green,0.17558530047903292,124,Cat,294
75,0.7964517695378094,C,1.6795018425491917,Z,21,0.16881496459993894,Blue,1.4706614734541448,177,Dog,224
75,0.5470629909184421,B,-0.30049656562514065,X,45,0.9570668750624416,Green,1.8457789132615745,110,Cat,272
88,0.6499520981658891,B,-0.4899669524725367,Y,27,0.33998104468813284,Red,-0.3424478988994969,129,Bird,227
24,0.7537682020450523,B,-0.7344554908048295,Z,30,0.7137082264816779,Red,0.8740315928632763,170,Bird,277
3,0.6220091888089806,B,-0.5263072356749081,X,10,0.7540201262858824,Red,-0.1472066981368178,165,Dog,204
22,0.5400793219221958,C,-1.3972142459245906,Y,21,0.5040309193063757,Red,-1.615958608866614,134,Cat,273
53,0.7496142843877734,C,-0.6488213635517954,Y,1,0.12871730613084997,Red,0.6050552797729224,142,Bird,237
2,0.7275630354322007,C,-1.2104825899419085,Z,9,0.27566293241757667,Red,1.8312852463674472,166,Dog,227
88,0.6298724001831789,A,0.7189700393221041,X,3,0.23424695232872617,Green,-0.38143702020707737,196,Cat,273
30,0.3597894133819296,B,1.480194519239204,Y,49,0.5186423299175882,Red,-0.907256903541679,150,Cat,232
38,0.4058120922002716,C,0.2216396548893205,Z,42,0.261268870997007,Green,0.06736885161786316,145,Bird,247
2,0.9704385488840974,C,-0.6738995484092392,Z,19,0.5467704769577979,Green,-0.12279156331093977,161,Dog,283
64,0.11238593229152583,C,0.74427582661273,Z,6,0.288206754387033,Blue,2.6100418699785113,161,Cat,263
60,0.2685049172528353,B,-0.039259683875249037,Z,7,0.000979133676900057,Green,1.0058621207158713,131,Dog,294
21,0.4924017592043357,B,1.014847728147081,Z,43,0.3632567337826115,Green,0.1293900976842219,116,Cat,206
33,0.8367296861437858,B,-0.9454278641443407,Y,16,0.6068508531891527,Green,-2.8953297337688544,150,Cat,290
76,0.16367566372972786,C,-0.8760028902037027,Z,36,0.7736967765373128,Red,-0.14329849050932103,127,Cat,207
58,0.27695461812460986,B,0.7261591215755627,X,4,0.028364460979974915,Green,1.8522266297139711,184,Dog,213
22,0.06579821779523898,C,-0.020266883137630812,X,18,0.2583130006765927,Blue,0.0800475104117618,150,Bird,207
89,0.7059852660508185,A,0.9268766994609047,Y,32,0.9854621200476676,Green,0.8218494602328846,118,Cat,202
49,0.23820943547561613,B,-0.858524093424465,Z,32,0.26181538853055,Red,0.39195932995931826,196,Bird,203
91,0.3886747506709505,B,0.4336526641592427,Z,18,0.7771976565384348,Green,-0.48666205924389605,156,Cat,219
59,0.44370144702966785,C,0.5464872790777332,Y,39,0.5093736184075444,Red,1.6913157238906154,174,Bird,262
42,0.8913139356064557,B,-1.5371212226942688,Z,43,0.12217398405535362,Red,0.18890591957264719,196,Dog,276
92,0.4113302903312368,B,-0.0034211511349828503,Z,37,0.6434001289950534,Red,-0.7068702784506735,186,Cat,269
60,0.14522501991524905,C,-2.0161918230225315,X,28,0.96634085225437,Green,0.021525044289525126,106,Cat,203
80,0.524314938340121,C,1.4698533885675769,Z,39,0.8868290327489984,Green,1.4275466659917706,107,Bird,220
15,0.9629579946486296,C,-1.317601438487428,Y,2,0.6902927878387065,Green,-1.4794516235841793,129,Bird,285
62,0.607685641050811,A,-0.1888923762694141,X,37,0.5121482669437062,Blue,0.27026625664848614,106,Bird,242
62,0.9833872204605726,C,-0.0049014769304754294,Y,37,0.31933300554954813,Blue,0.07363476165278673,157,Dog,250
